station_id,external_id,name,short_name,lat,lon,rental_methods,capacity,electric_bike_surcharge_waiver,is_charging_info,eightd_has_key_dispenser,has_kiosk,eightd_station_services,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging_status,eightd_active_station_services,total_capacity,utilization_rate
205,0b1206fe-08f3-11e7-a1cb-3863bb33a4e4,Ste-Famille / des Pins,6207,45.512856179335664,-73.57692807912827,"['CREDITCARD', 'KEY']",23,False,False,False,True,,6,3,1,16,0,1,1,1,1763056523,False,False,,22,0.2727272727272727
206,0b120816-08f3-11e7-a1cb-3863bb33a4e4,Boyer / Jean-Talon,6208,45.541374968866094,-73.61213207244873,"['CREDITCARD', 'KEY']",15,False,False,False,True,,4,1,0,11,0,1,1,1,1763053345,False,False,,15,0.26666666666666666
207,0b12092a-08f3-11e7-a1cb-3863bb33a4e4,Milton / St-Laurent,6209,45.512916325090295,-73.57055649161339,"['CREDITCARD', 'KEY']",21,False,False,False,True,,16,5,1,4,0,1,1,1,1763056241,False,False,,20,0.8
208,0b120a4a-08f3-11e7-a1cb-3863bb33a4e4,Métro Sauvé (Berri / Sauvé),6210,45.550692068419764,-73.65636706352234,"['CREDITCARD', 'KEY']",21,False,False,False,True,,3,0,1,17,0,1,1,1,1763054954,False,False,,20,0.15
209,0b120b73-08f3-11e7-a1cb-3863bb33a4e4,des Pins / St-Laurent,6211,45.51522812881499,-73.5750961303711,"['CREDITCARD', 'KEY']",23,False,False,False,True,,2,0,0,21,0,1,1,1,1763056556,False,False,,23,0.08695652173913043
210,0b120c8a-08f3-11e7-a1cb-3863bb33a4e4,Duluth / de l'Esplanade,6212,45.515132275425785,-73.58105599880219,"['CREDITCARD', 'KEY']",27,False,False,False,True,,1,0,0,26,0,1,1,1,1763056341,False,False,,27,0.037037037037037035
211,0b120d99-08f3-11e7-a1cb-3863bb33a4e4,Coloniale / Marie-Anne,6213,45.5199736855172,-73.58307659669663,"['CREDITCARD', 'KEY']",23,False,False,False,True,,22,2,0,1,0,1,1,1,1763054597,False,False,,23,0.9565217391304348
212,0b120eaa-08f3-11e7-a1cb-3863bb33a4e4,du Square Saint-Louis / Laval,6214,45.51608652423074,-73.570156325477,"['CREDITCARD', 'KEY']",27,False,False,False,True,,17,2,0,10,0,1,1,1,1763056405,False,False,,27,0.6296296296296297
213,0b120fbf-08f3-11e7-a1cb-3863bb33a4e4,Mackay / Ste-Catherine,6215,45.49611695078377,-73.57753801352374,"['CREDITCARD', 'KEY']",23,False,False,False,True,,17,0,1,5,0,1,1,1,1763056495,False,False,,22,0.7727272727272727
214,0b1210e1-08f3-11e7-a1cb-3863bb33a4e4,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),6216,45.51487490356938,-73.58486406505108,"['CREDITCARD', 'KEY']",47,False,False,False,True,,13,1,1,33,0,1,1,1,1763056246,False,False,,46,0.2826086956521739
215,0b1211fb-08f3-11e7-a1cb-3863bb33a4e4,Vallières / St-Laurent,6217,45.518967223320054,-73.5836161673069,"['CREDITCARD', 'KEY']",23,False,False,False,True,,10,1,0,13,0,1,1,1,1763055478,False,False,,23,0.43478260869565216
216,0b12130a-08f3-11e7-a1cb-3863bb33a4e4,de Bullion / Roy,6219,45.516762741903605,-73.57474076698054,"['CREDITCARD', 'KEY']",19,False,False,False,True,,13,0,0,6,0,1,1,1,1763055835,False,False,,19,0.6842105263157895
217,0b12141b-08f3-11e7-a1cb-3863bb33a4e4,Rachel / de Brébeuf,6220,45.526911494644025,-73.5727014299664,"['CREDITCARD', 'KEY']",29,False,False,False,True,,15,0,0,14,0,1,1,1,1763055320,False,False,,29,0.5172413793103449
